RUN,TRENCH_ARE,TRENCH_P,ROTATION,MID_X,MID_Y,F_INT,A_INT,F_INT_P,A_INT_P,S_FEAT,S_AREA
246,41369.90000000000,0.10000100000,14.67650000000,85541.20000000000,200682.00000000000,733,3905.97000000000,21.59690000000,10.30300000000,3639,38156.1075936
247,41371.70000000000,0.10000500000,86.86440000000,85538.40000000000,200681.00000000000,639,3916.58000000000,18.82730000000,10.33100000000,3640,38157.1075936
248,41363.40000000000,0.09998550000,82.84600000000,85549.20000000000,200722.00000000000,646,3865.15000000000,19.03360000000,10.19530000000,3641,38158.1075936
249,41379.50000000000,0.10002400000,16.28470000000,85547.30000000000,200697.00000000000,638,3678.19000000000,18.79790000000,9.70215000000,3642,38159.1075936
250,41368.70000000000,0.09999820000,165.55500000000,85534.40000000000,200704.00000000000,690,3746.23000000000,20.33000000000,9.88163000000,3643,38160.1075936
251,41415.00000000000,0.10011000000,96.92630000000,85543.80000000000,200707.00000000000,622,3694.48000000000,18.32650000000,9.74511000000,3644,38161.1075936
252,41360.30000000000,0.09997800000,138.45100000000,85548.90000000000,200680.00000000000,702,3786.06000000000,20.68360000000,9.98668000000,3645,38162.1075936
253,41367.80000000000,0.09999610000,4.32790000000,85535.80000000000,200687.00000000000,678,3909.87000000000,19.97640000000,10.31330000000,3646,38163.1075936
254,41374.90000000000,0.10001300000,62.08540000000,85544.50000000000,200687.00000000000,617,3584.14000000000,18.17910000000,9.45407000000,3647,38164.1075936
255,41374.20000000000,0.10001200000,82.75310000000,85546.30000000000,200699.00000000000,651,3790.59000000000,19.18090000000,9.99863000000,3648,38165.1075936
256,41374.20000000000,0.10001100000,159.83500000000,85544.80000000000,200714.00000000000,688,3822.50000000000,20.27110000000,10.08280000000,3649,38166.1075936
257,41360.20000000000,0.09997770000,101.93200000000,85532.80000000000,200689.00000000000,723,3953.06000000000,21.30230000000,10.42720000000,3650,38167.1075936
258,41354.80000000000,0.09996460000,64.31700000000,85535.60000000000,200703.00000000000,647,3775.13000000000,19.06310000000,9.95784000000,3651,38168.1075936
259,41370.30000000000,0.10000200000,144.23700000000,85546.40000000000,200691.00000000000,724,3684.38000000000,21.33180000000,9.71846000000,3652,38169.1075936
260,41371.80000000000,0.10000600000,154.69200000000,85541.60000000000,200685.00000000000,737,4048.90000000000,21.71480000000,10.68000000000,3653,38170.1075936
261,41307.50000000000,0.09985020000,82.46000000000,85536.20000000000,200702.00000000000,668,3822.91000000000,19.68180000000,10.08390000000,3654,38171.1075936
262,41357.00000000000,0.09997000000,117.24000000000,85531.10000000000,200682.00000000000,684,3601.58000000000,20.15320000000,9.50007000000,3655,38172.1075936
263,41365.00000000000,0.09998930000,120.40900000000,85534.30000000000,200711.00000000000,672,3612.95000000000,19.79960000000,9.53006000000,3656,38173.1075936
264,41358.60000000000,0.09997370000,70.29650000000,85537.20000000000,200712.00000000000,652,3946.76000000000,19.21040000000,10.41060000000,3657,38174.1075936
265,41374.70000000000,0.10001300000,122.10000000000,85542.80000000000,200693.00000000000,695,3823.51000000000,20.47730000000,10.08550000000,3658,38175.1075936
266,41372.00000000000,0.10000600000,108.58800000000,85539.00000000000,200685.00000000000,668,3825.80000000000,19.68180000000,10.09150000000,3659,38176.1075936
267,41371.70000000000,0.10000600000,152.36000000000,85540.60000000000,200692.00000000000,757,3686.94000000000,22.30410000000,9.72524000000,3660,38177.1075936
268,41371.50000000000,0.10000500000,132.06700000000,85541.20000000000,200712.00000000000,733,3815.61000000000,21.59690000000,10.06460000000,3661,38178.1075936
269,41288.90000000000,0.09980530000,7.45961000000,85549.70000000000,200677.00000000000,676,3701.02000000000,19.91750000000,9.76238000000,3662,38179.1075936
270,41348.80000000000,0.09995020000,55.06130000000,85535.30000000000,200699.00000000000,628,3867.83000000000,18.50320000000,10.20240000000,3663,38180.1075936
271,41370.20000000000,0.10000200000,75.80010000000,85549.50000000000,200702.00000000000,611,3660.92000000000,18.00240000000,9.65660000000,3664,38181.1075936
