OBJECTID,RUN,TRENCH_ARE,TRENCH_P,ROTATION,MID_X,MID_Y,F_INT,A_INT,F_INT_P,A_INT_P
396.0,396.0,472.0,0.1,108.0,120284.0,188530.0,61.0,32.2,13.6,10.5
397.0,397.0,522.6,0.1,166.0,120283.0,188530.0,84.0,26.5,18.7,8.7
398.0,398.0,526.1,0.1,22.0,120292.0,188528.0,73.0,31.3,16.3,10.3
399.0,399.0,523.6,0.1,155.0,120282.0,188528.0,69.0,37.7,15.4,12.4
400.0,400.0,477.1,0.1,144.0,120292.0,188545.0,84.0,33.9,18.7,11.1
401.0,401.0,500.0,0.1,31.0,120292.0,188523.0,81.0,31.9,18.0,10.4
402.0,402.0,486.4,0.1,4.0,120283.0,188547.0,69.0,33.0,15.4,10.8
403.0,403.0,468.7,0.1,70.0,120300.0,188532.0,82.0,40.3,18.3,13.2
404.0,404.0,466.0,0.1,164.0,120295.0,188534.0,61.0,27.1,13.6,8.9
405.0,405.0,487.4,0.1,176.0,120301.0,188529.0,57.0,32.0,12.7,10.5
406.0,406.0,497.7,0.1,161.0,120297.0,188538.0,64.0,29.8,14.3,9.8
407.0,407.0,466.3,0.1,164.0,120293.0,188537.0,66.0,26.4,14.7,8.6
408.0,408.0,478.8,0.1,7.0,120299.0,188536.0,53.0,26.3,11.8,8.6
409.0,409.0,495.6,0.1,49.0,120293.0,188529.0,50.0,33.9,11.1,11.1
410.0,410.0,460.7,0.1,159.0,120293.0,188543.0,48.0,25.4,10.7,8.3
411.0,411.0,503.0,0.1,88.0,120282.0,188550.0,56.0,34.6,12.5,11.3
412.0,412.0,466.2,0.1,27.0,120298.0,188546.0,78.0,30.9,17.4,10.1
413.0,413.0,495.9,0.1,150.0,120288.0,188553.0,84.0,29.5,18.7,9.7
414.0,414.0,542.0,0.1,64.0,120282.0,188564.0,49.0,22.1,10.9,7.2
415.0,415.0,486.8,0.1,41.0,120287.0,188536.0,71.0,32.7,15.8,10.7
416.0,416.0,497.9,0.1,94.0,120287.0,188525.0,72.0,29.0,16.0,9.5
417.0,417.0,456.4,0.1,25.0,120301.0,188548.0,58.0,32.5,12.9,10.7
418.0,418.0,491.7,0.1,131.0,120297.0,188535.0,83.0,38.5,18.5,12.6
419.0,419.0,522.2,0.1,12.0,120288.0,188530.0,96.0,35.9,21.4,11.8
420.0,420.0,476.7,0.1,137.0,120297.0,188524.0,80.0,39.2,17.8,12.8
421.0,421.0,494.5,0.1,128.0,120293.0,188544.0,52.0,24.4,11.6,8.0
422.0,422.0,448.1,0.1,110.0,120288.0,188560.0,89.0,33.3,19.8,10.9
423.0,423.0,460.3,0.1,92.0,120293.0,188553.0,53.0,39.8,11.8,13.0
424.0,424.0,509.9,0.1,71.0,120295.0,188522.0,45.0,22.1,10.0,7.2
425.0,425.0,524.2,0.1,116.0,120291.0,188556.0,61.0,27.6,13.6,9.1
426.0,426.0,498.8,0.1,131.0,120288.0,188564.0,56.0,22.5,12.5,7.4
427.0,427.0,480.0,0.1,70.0,120285.0,188557.0,49.0,23.1,10.9,7.6
428.0,428.0,502.0,0.1,104.0,120298.0,188536.0,49.0,42.0,10.9,13.7
429.0,429.0,463.8,0.1,163.0,120293.0,188555.0,59.0,25.9,13.1,8.5
430.0,430.0,485.5,0.1,60.0,120289.0,188569.0,73.0,32.0,16.3,10.5
431.0,431.0,524.7,0.1,155.0,120300.0,188539.0,67.0,42.0,14.9,13.8
432.0,432.0,498.0,0.1,36.0,120292.0,188552.0,77.0,36.6,17.1,12.0
433.0,433.0,509.7,0.1,170.0,120300.0,188562.0,93.0,31.7,20.7,10.4
434.0,434.0,499.9,0.1,43.0,120282.0,188563.0,79.0,28.2,17.6,9.2
435.0,435.0,491.5,0.1,121.0,120289.0,188521.0,98.0,28.3,21.8,9.3
436.0,436.0,467.2,0.1,128.0,120289.0,188535.0,84.0,37.9,18.7,12.4
437.0,437.0,441.4,0.1,114.0,120284.0,188528.0,71.0,36.6,15.8,12.0
438.0,438.0,560.3,0.1,69.0,120294.0,188545.0,54.0,20.8,12.0,6.8
439.0,439.0,477.4,0.1,74.0,120294.0,188531.0,97.0,35.5,21.6,11.6
440.0,440.0,519.8,0.1,155.0,120299.0,188543.0,70.0,32.6,15.6,10.7
441.0,441.0,502.8,0.1,148.0,120298.0,188535.0,73.0,35.4,16.3,11.6
442.0,442.0,476.8,0.1,34.0,120286.0,188536.0,51.0,26.9,11.4,8.8
443.0,443.0,494.1,0.1,93.0,120285.0,188564.0,65.0,28.3,14.5,9.3
444.0,444.0,420.6,0.1,111.0,120289.0,188562.0,79.0,33.5,17.6,11.0
445.0,445.0,450.9,0.1,109.0,120290.0,188547.0,94.0,36.7,20.9,12.0
446.0,446.0,444.9,0.1,108.0,120293.0,188565.0,57.0,31.5,12.7,10.3
447.0,447.0,472.3,0.1,75.0,120291.0,188538.0,47.0,38.2,10.5,12.5
448.0,448.0,543.6,0.1,69.0,120295.0,188527.0,66.0,29.3,14.7,9.6
449.0,449.0,450.0,0.1,117.0,120292.0,188526.0,82.0,27.8,18.3,9.1
450.0,450.0,513.3,0.1,170.0,120299.0,188549.0,80.0,33.5,17.8,11.0
451.0,451.0,488.3,0.1,7.0,120282.0,188546.0,69.0,25.9,15.4,8.5
452.0,452.0,494.4,0.1,45.0,120297.0,188563.0,58.0,30.0,12.9,9.8
453.0,453.0,502.4,0.1,94.0,120288.0,188560.0,64.0,20.4,14.3,6.7
454.0,454.0,452.3,0.1,20.0,120300.0,188539.0,70.0,25.0,15.6,8.2
455.0,455.0,484.7,0.1,55.0,120297.0,188528.0,44.0,31.7,9.8,10.4
456.0,456.0,468.9,0.1,62.0,120300.0,188555.0,92.0,43.6,20.5,14.3
457.0,457.0,494.5,0.1,40.0,120291.0,188545.0,77.0,29.4,17.1,9.6
458.0,458.0,471.5,0.1,11.0,120299.0,188543.0,71.0,25.6,15.8,8.4
459.0,459.0,521.3,0.1,74.0,120294.0,188546.0,36.0,17.5,8.0,5.7
460.0,460.0,490.2,0.1,99.0,120296.0,188565.0,83.0,25.7,18.5,8.4
461.0,461.0,501.6,0.1,95.0,120289.0,188561.0,58.0,17.4,12.9,5.7
462.0,462.0,541.7,0.1,64.0,120293.0,188545.0,46.0,22.6,10.2,7.4
463.0,463.0,499.5,0.1,1.0,120286.0,188555.0,71.0,27.0,15.8,8.8
464.0,464.0,502.7,0.1,36.0,120288.0,188553.0,69.0,30.2,15.4,9.9
465.0,465.0,488.7,0.1,52.0,120292.0,188547.0,43.0,17.0,9.6,5.6
466.0,466.0,483.3,0.1,138.0,120284.0,188561.0,67.0,33.2,14.9,10.9
467.0,467.0,504.6,0.1,95.0,120289.0,188568.0,84.0,41.6,18.7,13.6
468.0,468.0,474.4,0.1,38.0,120283.0,188543.0,60.0,27.8,13.4,9.1
469.0,469.0,485.5,0.1,77.0,120301.0,188521.0,56.0,32.0,12.5,10.5
470.0,470.0,498.5,0.1,32.0,120296.0,188536.0,64.0,31.1,14.3,10.2
471.0,471.0,479.4,0.1,11.0,120281.0,188536.0,64.0,32.8,14.3,10.8
472.0,472.0,478.1,0.1,120.0,120296.0,188543.0,60.0,30.5,13.4,10.0
473.0,473.0,489.1,0.1,175.0,120294.0,188566.0,60.0,29.7,13.4,9.7
474.0,474.0,486.8,0.1,4.0,120282.0,188547.0,70.0,32.8,15.6,10.7
475.0,475.0,479.5,0.1,137.0,120296.0,188548.0,70.0,25.7,15.6,8.4
476.0,476.0,493.6,0.1,43.0,120295.0,188522.0,61.0,29.7,13.6,9.7
477.0,477.0,488.9,0.1,136.0,120294.0,188543.0,57.0,37.4,12.7,12.3
478.0,478.0,511.9,0.1,121.0,120297.0,188536.0,84.0,33.5,18.7,11.0
479.0,479.0,500.9,0.1,23.0,120288.0,188519.0,56.0,24.0,12.5,7.8
480.0,480.0,484.9,0.1,10.0,120293.0,188523.0,57.0,25.0,12.7,8.2
481.0,481.0,474.1,0.1,34.0,120285.0,188523.0,65.0,29.6,14.5,9.7
482.0,482.0,472.2,0.1,17.0,120298.0,188544.0,67.0,24.0,14.9,7.9
483.0,483.0,482.5,0.1,41.0,120301.0,188529.0,64.0,30.8,14.3,10.1
484.0,484.0,486.5,0.1,1.0,120293.0,188521.0,79.0,37.2,17.6,12.2
485.0,485.0,443.5,0.1,72.0,120299.0,188556.0,62.0,40.8,13.8,13.4
486.0,486.0,507.6,0.1,22.0,120294.0,188527.0,69.0,26.6,15.4,8.7
487.0,487.0,542.5,0.1,115.0,120289.0,188554.0,52.0,28.7,11.6,9.4
488.0,488.0,487.1,0.1,12.0,120282.0,188568.0,78.0,26.0,17.4,8.5
